society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
la vida by tata housing,flat,2.78,10335.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2170 sq.ft. (201.6 sq.m.),2690.0,3.0,4,3+,5.0,North-East,Relatively New,M68451874,sector 113,2690.0,2350.0,2170.0,0,1,0,0,0,0,174,896.6666666666666
smart world gems,flat,0.86,7797.0,Carpet area: 1103 (102.47 sq.m.),1103.0,2.0,3,2,4.0,North-East,New Property,G66179018,sector 89,,,1103.0,1,1,0,1,0,2,72,551.5
independent,house,3.2,14222.0,Plot area 250(209.03 sq.m.),2250.0,3.0,3,2,2.0,,Old Property,,sector 4,,2250.0,,0,0,0,0,0,0,13,750.0
bestech altura,flat,1.85,8605.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2150.0,3.0,3,3,7.0,,New Property,Z70038990,sector 79,2150.0,1650.0,1350.0,0,1,0,0,0,0,53,716.6666666666666
dlf the ultima,flat,3.5,11686.0,Super Built up area 2995(278.24 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2995.0,4.0,5,3+,7.0,North-East,Relatively New,L70015174,sector 81,2995.0,,2200.0,0,1,0,0,0,1,174,748.75
umang monsoon breeze,flat,0.8,4837.0,Super Built up area 1654(153.66 sq.m.)Built Up area: 1472 sq.ft. (136.75 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),1654.0,3.0,2,2,7.0,South,Moderately Old,U69662826,sector 78,1654.0,1472.0,1310.0,0,0,0,1,0,0,102,551.3333333333334
sare homes,flat,0.8,5253.0,Carpet area: 1523 (141.49 sq.m.),1523.0,3.0,3,3,7.0,North-West,Relatively New,O69809178,sector 92,,,1523.0,1,0,0,0,0,2,80,507.6666666666667
shree arihant apartment,flat,1.55,8611.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1800.0,3.0,3,3,3.0,North-East,Moderately Old,U69772026,sector 54,2000.0,1900.0,1800.0,0,1,0,0,0,2,109,600.0
independent,house,2.8,18667.0,Built Up area: 1500 (139.35 sq.m.),1500.0,4.0,4,0,2.0,,Undefined,,sector 55,,1500.0,,0,0,0,0,0,0,0,375.0
uphaar residency 2,flat,0.42,5600.0,Carpet area: 750 (69.68 sq.m.),750.0,3.0,2,1,0.0,East,Moderately Old,V66177344,sector 105,,,750.0,0,0,0,0,1,0,7,250.0
